2,gate,22,나 조랭쓰 굿즈 만들었는디(개인),0,12926,스티커(종류 다양) : 500~1500# 떡메모지: 1500# 엽서(4종류) : 1000~3000# 홀로그램 키링 : 5000# 금속 뱃지 : 7000# 캐리커쳐 : 10000,,,,,,,,,,,,,,,,,,
1,hakm_forest,11,너이화함께,0,14462,"뱃지 : 7000#에코백 : 12000#스티커 한 세트 : 2000#엽서 개당 : 2000#세트(엽서 두종류) : 3500#전차스 : 2000#너이화함께와의 친밀도 확인하기 : 영상 2개 이상 시청&구독 버튼&인스타그램 팔로우 중 2가지 이상 확인 후 포토카드 증정#함께 만드는 너이화함께 : ""너"",""이"",""화"",""함"",""께"" 글씨 안에 주제에 맞는 글을 적는 이벤트#편견 부수기 피냐타 : 이화에 대한 편견 쪽지를 작성해서 피냐타 안에 넣으면 마지막날 함께 부수기#너이화함께의 미래 : 영상으로 보고 싶은 내용을 적어 주세요. 연락처를 남겨 주시면 추첨을 통해 두 분께 너이화함께 굿즈를 드립니다.",인스타 : @ewhatogether,,,,,,,,,,,,,,,,,
2,hakm_forest,11,너이화함께,0,14462,"뱃지 : 7000#에코백 : 12000#스티커 한 세트 : 2000#엽서 개당 : 2000#세트(엽서 두종류) : 3500#전차스 : 2000#너이화함께와의 친밀도 확인하기 : 영상 2개 이상 시청&구독 버튼&인스타그램 팔로우 중 2가지 이상 확인 후 포토카드 증정#함께 만드는 너이화함께 : ""너"",""이"",""화"",""함"",""께"" 글씨 안에 주제에 맞는 글을 적는 이벤트#편견 부수기 피냐타 : 이화에 대한 편견 쪽지를 작성해서 피냐타 안에 넣으면 마지막날 함께 부수기#너이화함께의 미래 : 영상으로 보고 싶은 내용을 적어 주세요. 연락처를 남겨 주시면 추첨을 통해 두 분께 너이화함께 굿즈를 드립니다.",인스타 : @ewhatogether,,,,,,,,,,,,,,,,,
3,hakm_forest,11,너이화함께,0,14462,"뱃지 : 7000#에코백 : 12000#스티커 한 세트 : 2000#엽서 개당 : 2000#세트(엽서 두종류) : 3500#전차스 : 2000#너이화함께와의 친밀도 확인하기 : 영상 2개 이상 시청&구독 버튼&인스타그램 팔로우 중 2가지 이상 확인 후 포토카드 증정#함께 만드는 너이화함께 : ""너"",""이"",""화"",""함"",""께"" 글씨 안에 주제에 맞는 글을 적는 이벤트#편견 부수기 피냐타 : 이화에 대한 편견 쪽지를 작성해서 피냐타 안에 넣으면 마지막날 함께 부수기#너이화함께의 미래 : 영상으로 보고 싶은 내용을 적어 주세요. 연락처를 남겨 주시면 추첨을 통해 두 분께 너이화함께 굿즈를 드립니다.",인스타 : @ewhatogether,,,,,,,,,,,,,,,,,
1,gate,9,다꾸왕김다꾸(총학프로그램 참여명 :문벤져스),0,13105,금속뱃지(별빛야잠뱃지 3종) : 각 7500#키링(종류 다양) : 4000~10000#떡메모지(종류 다양) : 2000~2500#스티커(인쇄소스티커) : 1000~2000#도무송/판스티커(종류 다양) : 1000~3000,,,,,,,,,,,,,,,,,,
2,gate,9,다꾸왕김다꾸(총학프로그램 참여명 :문벤져스),0,13105,금속뱃지(별빛야잠뱃지 3종) : 각 7500#키링(종류 다양) : 4000~10000#떡메모지(종류 다양) : 2000~2500#스티커(인쇄소스티커) : 1000~2000#도무송/판스티커(종류 다양) : 1000~3000,,,,,,,,,,,,,,,,,,
1,hakm_forest,31,다락방 문구점,0,,정보없음,,,,,,,,,,,,,,,,,,
2,hakm_forest,31,다락방 문구점,0,,정보없음,,,,,,,,,,,,,,,,,,
3,hakm_forest,31,다락방 문구점,0,,정보없음,,,,,,,,,,,,,,,,,,
1,saeng,3,다연회,0,17130,홍차시럽(1개) : 5000#요거베리티(1잔) : 2500,,,,,,,,,,,,,,,,,,
